"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 16:09:23 CST 2023","Tue Feb 28 16:09:35 CST 2023","11728","TestCases.test_01_login","test_login","TestLogin","","","test_login[case0]",""
"broken","Tue Feb 28 16:09:35 CST 2023","Tue Feb 28 16:09:49 CST 2023","13749","TestCases.test_colleague","test_colleague","TestColleague","","","test_colleague",""
